id,language,platform,gender,country,success,ui,timestamp
32,Hindi,Android,Male,USA,TRUE,A,2/23/2023 17:37
33,Chinese,iOS,Female,Australia,TRUE,B,7/1/2023 8:09
34,Spanish,Android,Female,USA,TRUE,A,10/7/2023 8:56
35,French,iOS,Female,USA,TRUE,A,5/31/2023 11:29
36,Spanish,Android,Female,Australia,FALSE,A,9/19/2023 17:37
37,Hindi,iOS,Male,USA,FALSE,B,2/4/2023 11:33
38,Spanish,iOS,Male,Australia,FALSE,A,9/3/2023 14:09
39,Chinese,iOS,Male,Australia,FALSE,A,2/18/2023 7:51
40,French,iOS,Female,India,TRUE,B,11/1/2023 3:57
41,Spanish,Android,Female,Canada,TRUE,A,1/2/2023 7:18
42,English,Android,Female,UK,FALSE,A,8/5/2023 8:57
43,Spanish,iOS,Female,Australia,TRUE,A,8/15/2023 13:26
44,English,iOS,Male,Australia,FALSE,A,3/25/2023 20:35
45,German,iOS,Male,India,FALSE,B,11/25/2023 22:03
46,English,Android,Female,Australia,FALSE,A,5/1/2023 23:12
47,English,Android,Female,Australia,FALSE,A,9/12/2023 3:27
48,Hindi,Android,Female,UK,TRUE,B,3/24/2023 22:07
49,Hindi,Android,Female,Australia,TRUE,A,12/23/2023 1:46
50,Chinese,iOS,Male,USA,FALSE,A,7/3/2023 15:15
51,English,iOS,Female,Australia,TRUE,B,7/27/2023 4:40
52,French,Android,Male,India,TRUE,B,10/26/2023 14:33
53,German,Android,Male,Canada,TRUE,B,8/31/2023 4:30
54,English,Android,Female,UK,TRUE,B,2/22/2023 0:28
55,Spanish,Android,Male,USA,FALSE,A,9/17/2023 20:59
56,Spanish,Android,Male,Canada,FALSE,A,5/26/2023 21:04
57,French,iOS,Male,India,TRUE,A,10/18/2023 23:47
58,Chinese,iOS,Female,UK,TRUE,B,9/15/2023 22:50
59,Hindi,iOS,Male,UK,TRUE,A,9/30/2023 22:12
60,Chinese,Android,Female,UK,FALSE,B,8/9/2023 11:19
61,French,Android,Female,Canada,FALSE,B,5/8/2023 13:39
62,French,iOS,Female,Australia,TRUE,A,5/31/2023 22:06
63,German,Android,Female,India,TRUE,A,6/28/2023 15:27
64,English,iOS,Male,UK,FALSE,A,11/12/2023 19:44
65,German,iOS,Female,India,TRUE,A,1/25/2023 2:24
66,Spanish,Android,Male,USA,TRUE,B,5/2/2023 8:02
67,French,Android,Female,Canada,FALSE,B,12/21/2023 13:50
68,German,Android,Female,UK,FALSE,B,5/30/2023 14:40
69,English,Android,Female,Australia,FALSE,A,12/22/2023 13:50
70,Hindi,iOS,Female,UK,FALSE,B,6/23/2023 13:33
71,English,Android,Female,India,TRUE,B,4/3/2023 11:29
72,English,iOS,Female,USA,FALSE,A,5/27/2023 15:26
73,Spanish,Android,Female,India,TRUE,A,7/3/2023 22:41
74,Hindi,iOS,Male,India,FALSE,A,6/3/2023 21:15
75,Chinese,Android,Male,Australia,TRUE,A,1/28/2023 12:41
76,Spanish,iOS,Female,USA,TRUE,B,10/8/2023 19:11
77,Hindi,Android,Female,UK,TRUE,B,12/31/2023 16:48
78,Chinese,Android,Male,Australia,TRUE,B,5/21/2023 22:10
79,Chinese,Android,Male,UK,TRUE,A,9/10/2023 12:29
80,Chinese,Android,Male,Australia,TRUE,A,1/9/2023 12:43
81,French,Android,Female,Canada,FALSE,B,8/8/2023 18:05
82,English,Android,Female,Canada,FALSE,A,12/9/2023 22:00
83,French,Android,Female,USA,TRUE,B,5/31/2023 5:47
84,Hindi,Android,Male,Australia,TRUE,B,2/11/2023 3:58
85,English,iOS,Female,Australia,TRUE,B,3/5/2023 21:55
86,Chinese,iOS,Female,Australia,FALSE,A,5/18/2023 6:13
87,French,iOS,Female,Canada,FALSE,A,2/6/2023 20:31
88,French,Android,Male,Australia,FALSE,B,1/1/2023 10:45
89,Chinese,iOS,Female,Australia,FALSE,A,11/22/2023 1:36
90,Chinese,Android,Female,India,FALSE,B,12/16/2023 1:10
91,English,Android,Female,Australia,TRUE,B,5/5/2023 1:09
92,Chinese,iOS,Male,USA,TRUE,B,1/22/2023 18:45
93,German,iOS,Male,UK,TRUE,B,2/4/2023 5:31
94,Hindi,iOS,Male,USA,TRUE,B,6/17/2023 17:22
95,English,Android,Female,Canada,TRUE,A,2/2/2023 23:19
96,Chinese,iOS,Female,UK,FALSE,A,5/2/2023 13:39
97,Hindi,Android,Female,USA,FALSE,B,4/2/2023 15:43
98,Chinese,Android,Female,UK,TRUE,B,6/19/2023 20:25
99,Chinese,Android,Male,UK,FALSE,B,11/5/2023 17:49
100,English,Android,Male,Canada,FALSE,B,7/27/2023 0:57
101,Spanish,iOS,Female,Canada,TRUE,B,8/23/2023 13:21
102,Spanish,iOS,Female,Canada,TRUE,A,1/30/2023 15:04
103,Spanish,iOS,Female,India,FALSE,A,6/3/2023 8:36
104,Hindi,Android,Male,Canada,FALSE,A,1/21/2023 0:57
105,Chinese,Android,Female,USA,FALSE,A,11/1/2023 16:46
106,Chinese,iOS,Female,Canada,TRUE,B,6/6/2023 2:17
107,German,Android,Female,Australia,FALSE,A,5/6/2023 6:52
108,Hindi,iOS,Female,UK,TRUE,A,5/7/2023 5:02
109,Hindi,Android,Female,India,TRUE,A,11/29/2023 9:28
110,Spanish,Android,Female,India,FALSE,A,3/8/2023 5:04
111,Hindi,iOS,Male,Australia,TRUE,A,5/25/2023 23:27
112,German,iOS,Male,India,FALSE,A,4/20/2023 6:29
113,German,Android,Male,UK,TRUE,A,12/23/2023 11:57
114,Spanish,iOS,Male,USA,FALSE,A,6/28/2023 23:12
115,German,iOS,Female,Canada,TRUE,A,4/6/2023 7:20
116,Spanish,Android,Female,UK,FALSE,A,9/23/2023 19:02
117,French,Android,Male,UK,FALSE,B,7/15/2023 5:12
118,Spanish,Android,Male,Australia,TRUE,B,3/28/2023 0:15
119,Hindi,Android,Male,USA,FALSE,B,7/16/2023 11:33
120,German,iOS,Female,India,FALSE,B,1/15/2023 13:03
121,Spanish,iOS,Male,UK,FALSE,B,4/29/2023 23:59
122,Spanish,iOS,Female,Australia,FALSE,B,11/4/2023 6:28
123,German,Android,Male,India,FALSE,B,4/22/2023 1:36
124,German,Android,Female,UK,TRUE,A,7/20/2023 14:48
125,French,Android,Male,Canada,TRUE,B,6/2/2023 9:35
126,Chinese,Android,Female,Australia,TRUE,B,10/24/2023 8:27
127,English,Android,Female,USA,TRUE,A,2/13/2023 18:32
128,Hindi,iOS,Female,India,TRUE,B,9/9/2023 1:27
129,Spanish,iOS,Male,UK,FALSE,A,7/1/2023 11:51
130,German,Android,Female,USA,FALSE,A,9/1/2023 10:58
131,English,iOS,Female,UK,TRUE,B,10/24/2023 23:31
132,Hindi,Android,Female,Canada,FALSE,A,4/3/2023 4:36
133,Chinese,Android,Male,India,FALSE,B,4/21/2023 8:13
134,Chinese,iOS,Female,India,FALSE,B,1/27/2023 8:26
135,English,iOS,Male,Australia,FALSE,B,11/17/2023 0:07
136,Spanish,Android,Female,Canada,FALSE,B,8/30/2023 13:55
137,Chinese,Android,Female,UK,TRUE,A,2/28/2023 8:16
138,German,iOS,Female,USA,FALSE,B,11/29/2023 16:39
139,Chinese,Android,Female,Australia,FALSE,A,7/10/2023 5:20
140,English,Android,Female,India,TRUE,A,2/1/2023 9:50
141,Chinese,iOS,Male,India,FALSE,B,4/15/2023 8:16
142,French,Android,Male,Canada,FALSE,B,5/11/2023 6:52
143,English,Android,Female,India,FALSE,A,9/17/2023 5:52
144,Spanish,iOS,Male,Australia,TRUE,B,10/6/2023 21:19
145,Hindi,Android,Male,India,TRUE,B,6/14/2023 10:54
146,Spanish,iOS,Male,Canada,TRUE,A,11/4/2023 0:53
147,Spanish,Android,Male,India,FALSE,B,9/14/2023 13:09
148,Chinese,Android,Male,UK,TRUE,B,7/25/2023 21:57
149,Hindi,iOS,Male,UK,FALSE,A,5/28/2023 11:50
150,Chinese,Android,Male,Canada,TRUE,A,4/14/2023 10:40
151,German,iOS,Female,USA,FALSE,A,1/23/2023 16:16
152,Hindi,iOS,Female,UK,TRUE,A,1/18/2023 15:54
153,Spanish,iOS,Male,USA,TRUE,A,3/17/2023 9:03
154,English,Android,Male,UK,FALSE,A,6/9/2023 19:40
155,English,Android,Female,USA,TRUE,B,5/12/2023 20:48
156,Chinese,iOS,Male,UK,TRUE,B,4/14/2023 6:52
157,Spanish,Android,Male,UK,TRUE,B,6/11/2023 3:58
158,Hindi,iOS,Male,USA,FALSE,B,7/24/2023 5:44
159,French,Android,Male,India,FALSE,A,7/2/2023 15:09
160,German,Android,Female,USA,TRUE,B,2/28/2023 11:54
161,Spanish,iOS,Male,India,TRUE,A,11/11/2023 10:04
162,German,iOS,Male,Canada,TRUE,A,9/12/2023 3:53
163,Hindi,Android,Female,India,FALSE,A,3/17/2023 13:09
164,French,iOS,Male,Canada,TRUE,B,8/21/2023 20:33
165,English,iOS,Male,USA,FALSE,A,2/14/2023 23:30
166,Hindi,iOS,Female,Canada,TRUE,B,12/27/2023 1:32
167,French,iOS,Female,USA,TRUE,B,8/4/2023 23:51
168,Spanish,iOS,Male,USA,FALSE,A,3/2/2023 0:38
169,French,iOS,Female,India,FALSE,A,5/4/2023 21:27
170,English,Android,Female,India,FALSE,B,6/20/2023 18:12
171,French,Android,Female,UK,TRUE,A,4/26/2023 21:40
172,German,iOS,Female,USA,TRUE,A,3/16/2023 13:08
173,German,Android,Male,India,FALSE,B,11/27/2023 15:35
174,Chinese,Android,Female,Australia,FALSE,B,2/27/2023 6:52
175,English,iOS,Female,UK,TRUE,A,4/9/2023 23:38
176,German,iOS,Female,USA,FALSE,B,9/27/2023 6:47
177,French,iOS,Male,UK,TRUE,A,12/21/2023 14:43
178,French,Android,Female,Australia,FALSE,B,5/14/2023 18:08
179,English,iOS,Female,Canada,TRUE,A,7/22/2023 5:41
180,Spanish,Android,Male,Canada,FALSE,B,11/5/2023 2:31
181,Spanish,Android,Female,Canada,FALSE,A,2/6/2023 11:43
182,English,iOS,Male,Canada,FALSE,A,1/7/2023 18:52
183,German,iOS,Female,UK,FALSE,A,6/23/2023 5:02
184,German,Android,Male,Australia,TRUE,B,5/22/2023 15:02
185,Hindi,iOS,Male,India,FALSE,A,3/15/2023 6:50
186,Spanish,Android,Male,UK,TRUE,A,9/1/2023 8:07
187,Spanish,Android,Male,Canada,TRUE,A,3/13/2023 4:10
188,French,iOS,Male,UK,TRUE,B,2/1/2023 15:36
189,Hindi,Android,Female,USA,FALSE,B,8/27/2023 18:09
190,Hindi,iOS,Male,UK,FALSE,A,9/9/2023 17:23
191,Spanish,iOS,Female,UK,FALSE,B,9/27/2023 5:45
192,French,Android,Female,India,TRUE,A,3/4/2023 20:40
193,English,iOS,Female,USA,TRUE,A,11/7/2023 22:50
194,Chinese,Android,Male,India,TRUE,B,4/26/2023 22:48
195,German,Android,Male,Canada,FALSE,B,7/6/2023 6:08
196,Chinese,Android,Male,USA,FALSE,B,10/23/2023 9:55
197,English,Android,Female,Canada,FALSE,A,10/3/2023 13:35
198,English,Android,Male,Australia,TRUE,A,12/4/2023 17:32
199,Spanish,iOS,Male,USA,FALSE,A,9/19/2023 19:24
200,Hindi,Android,Female,India,TRUE,B,5/15/2023 20:41
201,French,iOS,Female,Canada,FALSE,A,6/8/2023 3:46
202,French,Android,Male,UK,FALSE,A,10/22/2023 14:10
203,English,Android,Female,Australia,FALSE,B,4/3/2023 19:01
204,Hindi,Android,Female,UK,FALSE,B,3/5/2023 8:58
205,English,Android,Male,UK,FALSE,A,3/5/2023 12:08
206,Chinese,iOS,Female,India,FALSE,B,10/10/2023 1:58
207,German,iOS,Male,India,TRUE,A,3/22/2023 23:39
208,English,iOS,Male,Australia,FALSE,A,3/17/2023 22:33
209,German,iOS,Male,UK,FALSE,B,4/26/2023 14:00
210,Hindi,iOS,Female,India,FALSE,B,1/31/2023 19:22
211,German,iOS,Male,India,FALSE,A,2/5/2023 16:09
212,Chinese,Android,Male,USA,FALSE,B,4/30/2023 22:19
213,Hindi,iOS,Male,India,FALSE,A,6/3/2023 5:27
214,Chinese,Android,Female,Canada,TRUE,B,3/24/2023 9:34
215,German,iOS,Male,Canada,FALSE,A,4/15/2023 4:09
216,German,Android,Female,UK,TRUE,B,11/4/2023 22:56
217,Hindi,Android,Male,USA,FALSE,B,8/5/2023 14:03
218,English,Android,Female,UK,FALSE,B,11/4/2023 6:37
219,Chinese,Android,Female,Canada,TRUE,B,4/29/2023 19:54
220,English,Android,Male,India,TRUE,B,3/10/2023 21:25
221,Spanish,iOS,Male,UK,TRUE,B,12/18/2023 18:49
222,Spanish,iOS,Male,USA,FALSE,A,4/22/2023 6:58
223,Chinese,iOS,Female,Australia,TRUE,B,10/18/2023 13:35
224,French,iOS,Male,Canada,TRUE,A,5/20/2023 0:49
225,French,iOS,Male,UK,TRUE,B,8/9/2023 10:01
226,French,iOS,Female,Australia,TRUE,B,1/31/2023 22:24
227,English,iOS,Male,India,TRUE,A,1/9/2023 5:40
228,Hindi,Android,Female,USA,TRUE,B,7/24/2023 14:17
229,German,Android,Male,USA,FALSE,B,10/22/2023 7:50
230,Chinese,Android,Female,Canada,FALSE,B,11/21/2023 20:12
231,German,iOS,Male,UK,FALSE,B,5/25/2023 23:40
232,Spanish,iOS,Male,India,TRUE,B,12/24/2023 19:31
233,Hindi,iOS,Female,Canada,FALSE,B,8/23/2023 10:06
234,German,iOS,Male,India,TRUE,B,9/13/2023 0:54
235,Hindi,iOS,Male,USA,FALSE,A,11/19/2023 23:38
236,English,Android,Male,Australia,FALSE,B,12/30/2023 15:48
237,Hindi,Android,Male,Australia,FALSE,B,2/15/2023 18:17
238,Spanish,Android,Male,India,FALSE,A,7/20/2023 17:10
239,Spanish,iOS,Female,Canada,FALSE,B,11/27/2023 2:58
240,English,iOS,Female,Canada,FALSE,B,8/29/2023 10:04
241,Chinese,Android,Male,Canada,TRUE,A,7/25/2023 8:21
242,French,Android,Female,Canada,TRUE,A,2/26/2023 16:53
243,Chinese,Android,Male,UK,TRUE,A,6/9/2023 15:26
244,Hindi,Android,Female,India,FALSE,B,12/29/2023 19:54
245,Hindi,iOS,Male,Australia,TRUE,A,3/13/2023 4:47
246,Chinese,Android,Female,India,TRUE,A,7/7/2023 7:54
247,Chinese,Android,Male,USA,FALSE,B,7/3/2023 12:00
248,French,iOS,Female,India,TRUE,A,8/20/2023 18:28
249,French,Android,Male,India,TRUE,A,8/25/2023 20:46
250,Hindi,iOS,Female,USA,TRUE,B,2/5/2023 21:23
251,French,Android,Male,Australia,TRUE,B,9/14/2023 13:37
252,English,iOS,Male,Canada,FALSE,B,10/1/2023 19:25
253,German,Android,Female,Canada,FALSE,B,3/18/2023 23:18
254,German,iOS,Male,UK,FALSE,B,12/13/2023 20:16
255,German,Android,Female,Australia,FALSE,B,1/1/2023 14:19
256,Chinese,iOS,Female,India,TRUE,B,2/9/2023 0:33
257,German,Android,Female,USA,TRUE,A,4/19/2023 3:35
258,Spanish,Android,Female,USA,FALSE,A,2/20/2023 21:26
259,English,Android,Male,Australia,FALSE,B,2/13/2023 8:55
260,Chinese,Android,Female,Australia,FALSE,A,9/5/2023 5:04
261,Spanish,Android,Male,Canada,TRUE,A,11/23/2023 2:09
262,English,iOS,Female,Australia,TRUE,B,12/8/2023 5:39
263,Hindi,iOS,Female,Australia,TRUE,A,7/28/2023 23:49
264,Spanish,iOS,Female,USA,FALSE,A,9/13/2023 5:57
265,Chinese,Android,Male,India,FALSE,B,5/31/2023 23:21
266,German,iOS,Male,India,FALSE,A,10/21/2023 10:59
267,French,iOS,Female,Australia,FALSE,A,11/6/2023 10:07
268,Spanish,iOS,Female,UK,FALSE,B,2/6/2023 20:38
269,German,Android,Female,USA,TRUE,B,1/16/2023 19:50
270,English,Android,Female,UK,FALSE,B,7/22/2023 9:16
271,Hindi,Android,Female,USA,TRUE,B,11/19/2023 5:32
272,Hindi,iOS,Male,India,FALSE,B,8/17/2023 14:16
273,German,Android,Female,UK,FALSE,A,2/7/2023 1:32
274,French,iOS,Male,USA,TRUE,B,5/5/2023 4:20
275,Spanish,Android,Male,India,TRUE,B,4/23/2023 23:30
276,French,Android,Female,USA,TRUE,B,5/23/2023 15:35
277,Hindi,iOS,Male,Australia,TRUE,A,9/5/2023 9:11
278,English,Android,Female,Australia,TRUE,A,11/14/2023 6:19
279,French,Android,Male,Canada,FALSE,A,11/8/2023 17:21
280,Spanish,Android,Male,India,TRUE,B,3/31/2023 14:38
281,English,Android,Female,Australia,TRUE,B,5/12/2023 19:33
282,Chinese,Android,Female,India,TRUE,B,3/23/2023 15:00
283,Hindi,iOS,Male,India,FALSE,A,7/8/2023 8:26
284,English,Android,Male,UK,TRUE,B,5/31/2023 11:03
285,French,iOS,Male,India,FALSE,B,1/12/2023 8:46
286,Chinese,Android,Male,India,FALSE,B,1/9/2023 22:15
287,Spanish,iOS,Male,USA,TRUE,B,5/13/2023 13:48
288,English,Android,Female,UK,TRUE,A,10/6/2023 3:00
289,English,Android,Male,India,TRUE,A,1/2/2023 10:21
290,French,Android,Female,Canada,TRUE,B,7/7/2023 12:22
291,French,Android,Female,India,FALSE,B,6/25/2023 15:25
292,English,iOS,Female,USA,FALSE,A,7/6/2023 6:31
293,Chinese,Android,Male,Canada,TRUE,B,12/30/2023 8:18
294,Hindi,iOS,Male,India,FALSE,A,4/26/2023 1:34
295,French,iOS,Male,India,FALSE,B,9/14/2023 1:21
296,Spanish,Android,Male,UK,TRUE,B,1/1/2023 7:46
297,French,Android,Male,Australia,TRUE,B,7/25/2023 5:32
298,Hindi,Android,Male,Australia,TRUE,A,11/9/2023 1:56
299,English,Android,Male,Canada,TRUE,A,4/26/2023 11:08
300,German,iOS,Female,USA,FALSE,B,4/6/2023 14:11
301,French,Android,Male,Canada,FALSE,B,8/7/2023 1:15
302,French,Android,Female,Australia,TRUE,A,7/3/2023 2:07
303,German,Android,Male,UK,FALSE,B,9/27/2023 7:40
304,French,Android,Female,Canada,TRUE,B,1/23/2023 12:48
305,German,Android,Male,Canada,FALSE,B,6/20/2023 13:39
306,Spanish,Android,Male,Australia,TRUE,A,7/9/2023 5:30
307,German,iOS,Male,USA,TRUE,B,10/2/2023 0:42
308,French,Android,Male,Australia,FALSE,B,9/25/2023 12:27
309,German,Android,Female,Canada,TRUE,B,12/9/2023 9:10
310,German,Android,Male,Australia,FALSE,A,12/20/2023 20:45
311,Chinese,Android,Female,Australia,TRUE,A,12/26/2023 21:46
312,German,Android,Male,USA,FALSE,A,1/31/2023 10:23
313,Spanish,iOS,Male,Australia,TRUE,A,10/9/2023 12:01
314,Hindi,Android,Female,Canada,FALSE,A,9/24/2023 13:13
315,Chinese,Android,Male,USA,TRUE,B,8/2/2023 20:40
316,Chinese,iOS,Male,India,FALSE,B,1/8/2023 15:46
317,Hindi,Android,Male,India,FALSE,B,3/16/2023 5:45
318,Chinese,iOS,Male,UK,TRUE,A,1/4/2023 9:04
319,Chinese,iOS,Female,Canada,TRUE,B,12/6/2023 2:42
320,Hindi,Android,Female,UK,TRUE,B,11/20/2023 17:53
321,Hindi,Android,Female,Australia,TRUE,A,12/19/2023 14:05
322,Spanish,Android,Male,USA,FALSE,A,9/28/2023 23:58
323,Spanish,Android,Male,India,TRUE,A,9/7/2023 3:15
324,Hindi,Android,Male,Australia,FALSE,A,3/16/2023 5:26
325,German,iOS,Male,UK,FALSE,B,12/27/2023 12:54
326,Chinese,iOS,Female,USA,TRUE,A,11/19/2023 18:56
327,French,Android,Male,Canada,TRUE,A,12/27/2023 23:24
328,German,Android,Female,UK,TRUE,B,5/26/2023 12:02
329,Spanish,iOS,Female,Canada,FALSE,A,10/17/2023 12:09
330,Spanish,iOS,Male,India,TRUE,B,1/27/2023 3:52
331,English,Android,Female,UK,FALSE,B,11/30/2023 17:12
332,English,Android,Female,India,TRUE,A,1/25/2023 5:52
333,Chinese,iOS,Male,USA,TRUE,B,7/16/2023 12:42
334,Hindi,iOS,Male,USA,TRUE,A,1/16/2023 7:19
335,French,iOS,Female,India,FALSE,A,1/15/2023 8:59
336,Spanish,iOS,Male,Australia,TRUE,A,9/29/2023 0:58
337,Chinese,Android,Male,Canada,FALSE,A,11/15/2023 6:39
338,English,Android,Female,USA,FALSE,A,2/14/2023 23:22
339,English,Android,Female,Australia,TRUE,B,3/28/2023 12:54
340,French,Android,Male,UK,TRUE,B,12/19/2023 2:24
341,Hindi,Android,Female,Australia,TRUE,A,6/2/2023 12:40
342,Hindi,Android,Male,Australia,TRUE,A,3/19/2023 13:14
343,Chinese,iOS,Female,USA,TRUE,B,1/25/2023 9:46
344,German,Android,Male,India,TRUE,A,8/23/2023 10:11
345,Chinese,iOS,Male,UK,FALSE,A,3/7/2023 10:19
346,French,Android,Male,Canada,FALSE,B,9/25/2023 21:01
347,French,Android,Male,USA,FALSE,B,3/15/2023 8:25
348,Spanish,iOS,Male,USA,TRUE,B,11/13/2023 7:09
349,Chinese,iOS,Female,UK,FALSE,A,7/3/2023 17:08
350,French,iOS,Female,Australia,TRUE,B,5/17/2023 15:01
351,French,Android,Female,UK,TRUE,A,10/25/2023 16:20
352,French,iOS,Female,Canada,TRUE,B,10/8/2023 0:32
353,English,iOS,Male,UK,TRUE,A,9/29/2023 18:59
354,Spanish,Android,Male,India,FALSE,B,3/15/2023 22:38
355,Hindi,iOS,Male,India,FALSE,B,1/16/2023 9:44
356,Spanish,iOS,Male,Canada,TRUE,A,8/28/2023 15:37
357,English,Android,Female,Australia,TRUE,A,7/3/2023 7:39
358,English,iOS,Female,India,TRUE,B,1/7/2023 16:35
359,Chinese,Android,Female,India,TRUE,B,7/9/2023 3:26
360,English,iOS,Male,India,FALSE,A,4/29/2023 23:07
361,Spanish,iOS,Female,UK,TRUE,B,7/6/2023 22:58
362,Hindi,Android,Male,UK,TRUE,A,11/5/2023 23:21
363,Hindi,iOS,Male,India,FALSE,A,2/5/2023 12:31
364,Chinese,iOS,Male,USA,FALSE,B,6/6/2023 16:21
365,French,Android,Male,Canada,FALSE,A,12/4/2023 8:35
366,French,iOS,Female,Canada,TRUE,B,9/22/2023 4:38
367,French,iOS,Female,Canada,FALSE,B,11/15/2023 18:14
368,Spanish,iOS,Female,Canada,TRUE,A,4/19/2023 21:33
369,Chinese,iOS,Female,USA,TRUE,B,1/2/2023 5:29
370,Spanish,Android,Male,India,FALSE,A,2/21/2023 7:19
371,English,Android,Male,India,TRUE,B,11/18/2023 13:20
372,Spanish,Android,Male,USA,TRUE,B,4/24/2023 19:16
373,French,Android,Male,USA,FALSE,B,8/6/2023 21:44
374,English,Android,Male,UK,FALSE,A,4/3/2023 11:36
375,English,Android,Female,Canada,FALSE,B,10/28/2023 16:09
376,Hindi,Android,Female,Australia,FALSE,B,12/31/2023 5:30
377,Spanish,iOS,Male,India,TRUE,B,11/30/2023 21:48
378,Spanish,Android,Male,UK,FALSE,B,9/18/2023 23:11
379,French,Android,Male,Canada,FALSE,B,6/14/2023 17:23
380,French,Android,Male,India,TRUE,A,4/26/2023 9:41
381,French,Android,Male,India,TRUE,B,6/7/2023 11:40
382,German,Android,Male,UK,FALSE,A,4/8/2023 13:32
383,German,iOS,Male,Australia,TRUE,A,9/20/2023 15:52
384,French,iOS,Male,Australia,FALSE,B,10/22/2023 12:55
385,English,iOS,Female,UK,TRUE,A,11/21/2023 0:28
386,Hindi,iOS,Male,Canada,TRUE,B,12/11/2023 15:52
387,English,Android,Female,UK,TRUE,B,4/21/2023 3:32
388,Spanish,Android,Male,Australia,TRUE,B,1/11/2023 20:18
389,Chinese,iOS,Female,India,FALSE,B,6/11/2023 3:28
390,Hindi,Android,Male,UK,TRUE,B,8/17/2023 14:29
391,Spanish,iOS,Female,Australia,TRUE,B,5/4/2023 3:29
392,German,iOS,Female,India,FALSE,B,11/11/2023 11:12
393,English,Android,Female,USA,TRUE,A,12/26/2023 16:35
394,Chinese,iOS,Male,Australia,TRUE,A,2/7/2023 15:28
395,Chinese,iOS,Male,USA,FALSE,B,3/28/2023 8:35
396,French,Android,Male,UK,TRUE,B,4/23/2023 6:46
397,Hindi,Android,Male,India,TRUE,A,1/24/2023 5:45
398,Chinese,iOS,Female,UK,FALSE,A,4/29/2023 11:13
399,Hindi,Android,Female,UK,FALSE,B,10/5/2023 14:33
400,Chinese,Android,Male,Australia,TRUE,A,8/23/2023 12:55
401,Hindi,Android,Female,USA,TRUE,A,12/2/2023 2:52
402,German,iOS,Female,USA,FALSE,B,6/3/2023 15:13
403,Hindi,iOS,Male,Australia,FALSE,A,11/10/2023 8:17
404,Spanish,Android,Female,India,FALSE,A,11/8/2023 3:48
405,Hindi,iOS,Male,India,TRUE,B,11/26/2023 3:24
406,English,iOS,Male,UK,FALSE,B,10/5/2023 12:39
407,German,Android,Female,USA,TRUE,B,4/24/2023 2:37
408,Hindi,Android,Male,Australia,FALSE,B,7/27/2023 20:39
409,Chinese,iOS,Female,India,TRUE,B,4/8/2023 3:51
410,English,iOS,Male,India,TRUE,A,6/20/2023 1:37
411,Hindi,Android,Male,UK,FALSE,B,3/5/2023 21:47
412,Chinese,Android,Male,UK,TRUE,B,1/31/2023 12:09
413,English,Android,Male,India,FALSE,A,1/8/2023 10:59
414,Hindi,Android,Male,India,FALSE,A,8/8/2023 10:41
415,Spanish,Android,Female,Australia,FALSE,B,12/24/2023 6:55
416,Hindi,Android,Female,UK,TRUE,B,1/26/2023 17:30
417,French,Android,Male,India,TRUE,B,1/23/2023 2:28
418,Chinese,Android,Male,UK,FALSE,B,10/9/2023 18:18
419,Chinese,Android,Female,USA,TRUE,B,8/3/2023 15:30
420,Chinese,Android,Male,Canada,TRUE,A,10/22/2023 1:53
421,Chinese,iOS,Male,Canada,TRUE,A,6/13/2023 23:59
